 , ,,,,,
,Order ID,Item ID,Item Description,Quantity,Unit Price When Sold,Shipment
,251001UJRB54V1,S28-GRWBG2-GN03,Gardening Grow Bag Design 2 - Green - 3 Gallon (25*22cm),4,48.00,44
,251001USH44AT0,S16-DIACO1-SGRY,Diatomite Coaster Design 1 - Hard - Square Gray,2,42.00,46
,251001USH44AT0,S11-DIACO1-RGRY,Diatomite Coaster Design 1 - Hard - Round Gray,1,42.00,46
,251001USH44AT0,S11-DIACO1-RLGN,Diatomite Coaster Design 1 - Hard - Round Light Green,1,42.00,46
,251001USH44AT0,S11-DIACO1-RGRY,Diatomite Coaster Design 1 - Hard - Round Gray,4,23.50,46
,251001USH44AT0,S16-DIACO1-SGRY,Diatomite Coaster Design 1 - Hard - Square Gray,2,23.50,46
,251001USH44AT0,S18-MEDCUT-GREN,Portable Medicine Box with Pill Cutter - Green,1,50.00,23
,251001V70WWAAQ,S02-VACBTR-TR57,Vacuum Bags Transparent - 50x70cm,6,39.00,35
,251001VH1BUNX7,S11-FABORG-GYWA,Fabric Foldable Rectangle Organizer - Gray White Chevron,2,27.00,45
,251001VNTX44AB,S16-SLCODR-BLCK,Silicone Coaster Design Drain - Black,1,45.00,41
,251001VNTX44AB,S16-SLCODR-PINK,Silicone Coaster Design Drain - Pink,1,45.00,37
,251001VRW87SX4,S13-MNYCLP-SLVR,Money Clip Steel - Silver,2,39.00,44
,251001VRW87SX4,S13-MNYCLP-GOLD,Money Clip Steel - Gold,5,45.00,44
,251001VTP0393U,S11-DIACO1-RLBL,Diatomite Coaster Design 1 - Hard - Round Light Blue,1,42.00,46
,251001VTP0393U,S18-DIACO1-RDGY,Diatomite Coaster Design 1 - Hard - Round Dark Gray,1,47.00,46
,251001VUEX9PMH,S28-GRWBG2-GN20,Gardening Grow Bag Design 2 - Green - 20 Gallon (50*40cm),2,125.00,44
,251001VUEX9PMH,S28-GRWBG2-BK05,Gardening Grow Bag Design 2 - Black - 5 Gallon (30*25cm),2,52.00,40
,251001VUEX9PMH,S28-GRWBG2-BK10,Gardening Grow Bag Design 2 - Black - 10 Gallon (40*30cm),1,82.00,44
,251001VUHBHJWW,S14-PCTOIL-GRAY,Pouch Toiletry Organizer - Gray,1,145.00,34
,251001VV2C42QD,S32-MKYHDR-GREN,Metal Key Holder - Green,1,77.00,37
,251001VVEP09EM,S31-LMSWST-BN95,Plain Leather Magsafe Snap On Wallet with Stand - Brown 9.5,1,200.00,44
,251001W37EYK7V,S28-GRWBG2-BK03,Gardening Grow Bag Design 2 - Black - 3 Gallon (25*22cm),7,42.00,45
,25100101F14X79,S13-MNYCLP-SLVR,Money Clip Steel - Silver,1,39.00,44
,25100101KE8MNK,S26-RFIDMC-HCBK,RFID Card Wallet with Money Clip - Honeycomb Black,1,300.00,46
,25100104RSQQGX,S30-LMSWST-BK95,Plain Leather Magsafe Snap On Wallet with Stand - Black 9.5,1,210.00,44
,25100106F2CK10,S11-FABORG-WBCH,Fabric Foldable Rectangle Organizer - White Black Checkered,1,27.00,46
,25100106F2CK10,S16-SLCODR-BLCK,Silicone Coaster Design Drain - Black,2,45.00,41
,25100106F2CK10,S16-SLCODR-CREM,Silicone Coaster Design Drain - Cream,2,45.00,41
,2510010EN422RB,S30-LMSWST-BK95,Plain Leather Magsafe Snap On Wallet with Stand - Black 9.5,1,210.00,44
,2510010F5YTKGA,S43-LDHAMP-LFAM,Laundry Hamper - Large Forest Animals,1,209.00,45
,2510010GB43VC9,S13-MNYCLP-GOLD,Money Clip Steel - Gold,1,45.00,44
,2510010J2RJ6KX,S16-SLCODR-BLCK,Silicone Coaster Design Drain - Black,5,45.00,41
,2510010J2RJ6KX,S16-SLCODR-BLUE,Silicone Coaster Design Drain - Blue,5,45.00,46
,2510010J2RJ6KX,S16-SLCODR-PINK,Silicone Coaster Design Drain - Pink,5,45.00,"37, 41"
,2510010J7SRBRW,S31-COLTWL-BLUE,Microfiber Cooling Towel (30*80cm)  - Blue,4,28.00,44
,2510010KJ3XBXP,S26-RFIDMC-PLGN,RFID Card Wallet with Money Clip - Plain Green,1,245.00,44
